rep_iso,year,0,1
ARG,2002,0.35353871772667145,0.6464612822733286
ARG,2003,0.34271102853253166,0.6572889714674682
ARG,2004,0.36177234325454954,0.6382276567454505
ARG,2005,0.3215370560271411,0.6784629439728588
ARG,2006,0.28772987579693987,0.7122701242030601
ARG,2007,0.6422363907796356,0.3577636092203644
ARG,2008,0.6214039387088487,0.3785960612911513
ARG,2009,0.3042037037480399,0.69579629625196
ARG,2010,0.2794683090791669,0.7205316909208331
ARG,2011,0.29104111399377414,0.7089588860062258
ARG,2012,0.2857950774738304,0.7142049225261695
ARG,2013,0.3204083049631438,0.6795916950368562
ARG,2014,0.6038357451272893,0.3961642548727107
ARG,2015,0.6524841486750745,0.34751585132492546
ARG,2016,0.658649826719522,0.34135017328047806
ARG,2017,0.6246855596408298,0.3753144403591701
ARM,1997,0.5907172218553488,0.4092827781446512
ARM,1999,0.712394322780948,0.28760567721905195
ARM,2000,0.7146127805958646,0.28538721940413525
ARM,2001,0.7143852392889961,0.28561476071100383
ARM,2002,0.759799688752719,0.24020031124728103
ARM,2003,0.7607114349879027,0.23928856501209725
ARM,2004,0.8006925640479977,0.19930743595200234
ARM,2005,0.8036455643080557,0.19635443569194436
ARM,2006,0.8049753997364026,0.1950246002635973
ARM,2007,0.782160405484952,0.21783959451504786
